sausage,whole milk,curd,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,citrus fruit,whole milk,sliced cheese,frozen meals,white bread,chewing gum,photo/film,,,,,,,,,,,,,,,,,,,,,,,,
chicken,yogurt,cream cheese ,specialty cheese,margarine,canned vegetables,soda,candy,hygiene articles,dishes,,,,,,,,,,,,,,,,,,,,,,
other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,beef,other vegetables,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dessert,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,dessert,soft cheese,brown bread,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,berries,root vegetables,onions,flour,mustard,soda,bottled beer,salty snack,popcorn,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,whole milk,tidbits,frozen fish,ice cream,sauces,salty snack,kitchen towels,,,,,,,,,,,,,,,,,,,,,,,,
hard cheese,frozen meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,brown bread,margarine,cat food,detergent,cling film/bags,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,sliced cheese,margarine,cat food,detergent,dishes,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,hamburger meat,other vegetables,whole milk,whipped/sour cream,frozen meals,baking powder,coffee,,,,,,,,,,,,,,,,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,pip fruit,onions,other vegetables,whole milk,butter milk,whipped/sour cream,cream cheese ,domestic eggs,brown bread,shopping bags,,,,,,,,,,,,,,,,,,,,,
tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mayonnaise,candy,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,onions,packaged fruit/vegetables,cream cheese ,brown bread,canned fish,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,pork,tropical fruit,pip fruit,other vegetables,whipped/sour cream,beverages,white bread,,,,,,,,,,,,,,,,,,,,,,,,
white bread,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,other vegetables,whole milk,yogurt,whipped/sour cream,mayonnaise,frozen vegetables,frozen fish,soups,fruit/vegetable juice,canned beer,detergent,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,herbs,other vegetables,whole milk,curd,whipped/sour cream,rum,napkins,house keeping products,shopping bags,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,dessert,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
male cosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,citrus fruit,packaged fruit/vegetables,rolls/buns,vinegar,cocoa drinks,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,chocolate,candles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,spices,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,root vegetables,whole milk,frozen vegetables,rolls/buns,Instant food products,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc. beverages,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,chicken,root vegetables,other vegetables,whole milk,dessert,butter milk,yogurt,whipped/sour cream,sliced cheese,hard cheese,pastry,semi-finished bread,flour,pasta,canned vegetables,specialty chocolate,male cosmetics,newspapers,shopping bags,,,,,,,,,,,,
chicken,whole milk,semi-finished bread,jam,coffee,soda,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,yogurt,UHT-milk,sugar,coffee,soda,misc. beverages,canned beer,dishes,newspapers,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,beverages,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,frozen vegetables,napkins,newspapers,pot plants,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,soda,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,pickled vegetables,meat spreads,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,ham,chicken,turkey,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,dessert,sliced cheese,pickled vegetables,toilet cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,ham,pork,beef,hamburger meat,tropical fruit,pip fruit,berries,other vegetables,curd,dessert,yogurt,sliced cheese,spread cheese,semi-finished bread,canned vegetables,bottled water,misc. beverages,syrup,waffles,chocolate,seasonal products,,,,,,,,,,
salt,salty snack,cookware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,whole milk,butter,processed cheese,mayonnaise,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,whole milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,brown bread,salt,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,pip fruit,whole milk,rolls/buns,flour,oil,soda,,,,,,,,,,,,,,,,,,,,,,,,,
domestic eggs,seasonal products,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,berries,whole milk,yogurt,hard cheese,frozen vegetables,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,ham,root vegetables,onions,whole milk,yogurt,rolls/buns,white bread,brown bread,margarine,,,,,,,,,,,,,,,,,,,,,,
spread cheese,rolls/buns,white bread,pet care,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
packaged fruit/vegetables,whole milk,pastry,bottled water,soda,misc. beverages,chewing gum,specialty bar,hygiene articles,pot plants,shopping bags,,,,,,,,,,,,,,,,,,,,,
whole milk,white bread,fruit/vegetable juice,long life bakery product,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,whole milk,curd,white bread,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,beef,whole milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cream cheese ,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,other vegetables,whole milk,sliced cheese,white bread,baking powder,pickled vegetables,rum,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,coffee,candy,soap,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,root vegetables,packaged fruit/vegetables,yogurt,frozen potato products,brown bread,soda,candy,,,,,,,,,,,,,,,,,,,,,,,,
chicken,pork,beef,other vegetables,salt,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,pip fruit,rolls/buns,pastry,bottled water,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
onions,frozen meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,frozen meals,long life bakery product,chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curd,whipped/sour cream,pudding powder,coffee,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,beverages,pastry,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,sausage,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,tropical fruit,other vegetables,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white bread,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,other vegetables,frozen vegetables,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHT-milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,soda,fruit/vegetable juice,bottled beer,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,canned beer,long life bakery product,candles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,hard cheese,rolls/buns,sweet spreads,soda,misc. beverages,specialty chocolate,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,
whole milk,curd,soda,bottled beer,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
decalcifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,yogurt,UHT-milk,domestic eggs,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,beverages,bottled water,soda,cake bar,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat,turkey,hamburger meat,citrus fruit,pip fruit,whole milk,butter,yogurt,specialty cheese,rolls/buns,brown bread,Instant food products,bottled beer,specialty chocolate,newspapers,,,,,,,,,,,,,,,,,
liver loaf,tropical fruit,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,tropical fruit,grapes,onions,other vegetables,yogurt,whipped/sour cream,soft cheese,sliced cheese,frozen vegetables,white bread,pastry,semi-finished bread,oil,cat food,bottled water,fruit/vegetable juice,detergent,house keeping products,,,,,,,,,,,,,
sausage,dessert,sliced cheese,brown bread,detergent,kitchen towels,pot plants,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,citrus fruit,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,cream cheese ,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,yogurt,cream cheese ,rolls/buns,soda,brandy,,,,,,,,,,,,,,,,,,,,,,,,,,
pet care,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,onions,soups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,berries,root vegetables,herbs,other vegetables,whole milk,curd,ice cream,domestic eggs,margarine,soups,newspapers,,,,,,,,,,,,,,,,,,,,
sausage,citrus fruit,butter,yogurt,brown bread,margarine,fruit/vegetable juice,hygiene articles,newspapers,,,,,,,,,,,,,,,,,,,,,,,
pork,domestic eggs,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,whole milk,beverages,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,curd,yogurt,frozen vegetables,margarine,ketchup,cereals,canned fish,soda,cling film/bags,,,,,,,,,,,,,,,,,,,,,,
other vegetables,cream cheese ,coffee,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,yogurt,spread cheese,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,UHT-milk,frozen dessert,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,beverages,bottled water,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,citrus fruit,tropical fruit,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,whole milk,brown bread,brandy,detergent,dish cleaner,female sanitary products,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
sausage,beverages,rolls/buns,misc. beverages,waffles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,spices,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beverages,rolls/buns,soda,misc. beverages,liqueur,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,bottled beer,salty snack,detergent,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,grapes,yogurt,cream cheese ,frozen potato products,rolls/buns,meat spreads,bottled water,soda,chewing gum,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,nuts/prunes,root vegetables,whole milk,yogurt,rolls/buns,waffles,napkins,newspapers,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,other vegetables,soft cheese,rolls/buns,pastry,canned beer,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,whole milk,rolls/buns,flour,salt,vinegar,sugar,,,,,,,,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cake bar,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat,hamburger meat,onions,other vegetables,condensed milk,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,
meat,pork,pip fruit,root vegetables,other vegetables,whole milk,hard cheese,white bread,pasta,margarine,ketchup,cocoa drinks,chocolate,cling film/bags,,,,,,,,,,,,,,,,,,
sausage,yogurt,pastry,margarine,soda,bottled beer,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,rolls/buns,pastry,snack products,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,whole milk,cream cheese ,pastry,misc. beverages,fruit/vegetable juice,white wine,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,root vegetables,whole milk,rolls/buns,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,other vegetables,dessert,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,specialty cheese,bottled water,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,grapes,UHT-milk,pickled vegetables,jam,coffee,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,pip fruit,berries,coffee,detergent,candles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,hamburger meat,other vegetables,whole milk,brown bread,margarine,bottled water,bottled beer,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,
dessert,fruit/vegetable juice,long life bakery product,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,brown bread,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brown bread,soda,canned beer,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,whole milk,butter,butter milk,brown bread,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,cereals,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,canned beer,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,tropical fruit,curd,yogurt,dog food,bottled water,long life bakery product,hygiene articles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,packaged fruit/vegetables,pot plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled beer,liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,margarine,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dessert,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,frozen vegetables,white bread,pastry,sugar,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,yogurt,bottled water,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,whipped/sour cream,rolls/buns,candy,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
processed cheese,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whipped/sour cream,frozen vegetables,flour,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,hard cheese,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,soda,candy,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,pip fruit,UHT-milk,sugar,cat food,coffee,long life bakery product,chocolate,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,
organic sausage,pip fruit,root vegetables,other vegetables,pastry,salty snack,dishes,,,,,,,,,,,,,,,,,,,,,,,,,
liver loaf,beef,whole milk,yogurt,soft cheese,frozen vegetables,white bread,roll products ,vinegar,baking powder,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,
yogurt,bottled beer,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,frozen meals,frozen dessert,rolls/buns,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,yogurt,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berries,whole milk,flour,baking powder,dog food,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,fruit/vegetable juice,chewing gum,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen meals,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen dessert,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,tropical fruit,other vegetables,whole milk,butter,curd,dessert,yogurt,whipped/sour cream,UHT-milk,domestic eggs,pastry,flour,margarine,cereals,canned fish,cat food,bottled water,bottled beer,hygiene articles,napkins,,,,,,,,,,,
whipped/sour cream,curd cheese,specialty chocolate,abrasive cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,meat,beef,other vegetables,frozen vegetables,white bread,pastry,soups,pickled vegetables,specialty vegetables,cat food,soda,,,,,,,,,,,,,,,,,,,,
meat,root vegetables,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,root vegetables,yogurt,roll products ,margarine,sugar,bottled water,napkins,house keeping products,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,pip fruit,frozen meals,softener,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,other vegetables,sliced cheese,white bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,butter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curd,whipped/sour cream,domestic eggs,flour,misc. beverages,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen meals,white bread,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,frozen fish,white bread,pickled vegetables,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,citrus fruit,tropical fruit,whole milk,white bread,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,sausage,onions,other vegetables,curd,dessert,condensed milk,soft cheese,rolls/buns,pastry,potato products,soda,rum,specialty chocolate,shopping bags,,,,,,,,,,,,,,,,,
hamburger meat,pip fruit,root vegetables,other vegetables,whole milk,curd,domestic eggs,salt,vinegar,oil,margarine,spices,coffee,bottled beer,newspapers,,,,,,,,,,,,,,,,,
hamburger meat,hard cheese,frozen meals,pasta,dog food,salty snack,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,sliced cheese,pastry,white wine,light bulbs,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,cereals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,margarine,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
condensed milk,sugar,coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,grapes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,pork,whole milk,frozen vegetables,brown bread,vinegar,bottled beer,red/blush wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,
curd,whipped/sour cream,cream cheese ,margarine,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice cream,sugar,napkins,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,pip fruit,whole milk,rolls/buns,brown bread,pastry,semi-finished bread,margarine,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,,,
sausage,ham,rolls/buns,soda,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,
pastry,soda,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onions,whole milk,processed cheese,pastry,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,other vegetables,whole milk,mayonnaise,rolls/buns,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,sliced cheese,rolls/buns,canned beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
whipped/sour cream,beverages,fruit/vegetable juice,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,tropical fruit,whole milk,processed cheese,frozen vegetables,domestic eggs,rolls/buns,white bread,rice,soda,detergent,softener,decalcifier,napkins,shopping bags,,,,,,,,,,,,,,,,,
sausage,UHT-milk,pastry,margarine,canned fish,cat food,waffles,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,pork,tropical fruit,root vegetables,herbs,whole milk,curd,yogurt,whipped/sour cream,chewing gum,male cosmetics,newspapers,,,,,,,,,,,,,,,,,,,,
butter,brown bread,seasonal products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,pet care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,pickled vegetables,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,
