item_id,item,quantity_sold,main_category,sub_category,product_type
70,tea,26,Non-Alcoholic Drinks,Tea,Food
71,finished products,52,Other,General items,Unkown
72,seasonal products,105,Other,General items,Unkown
73,canned fish,107,Pantry Staples,Canned Goods,Food
74,baking powder,121,Pantry Staples,Baking Essentials,Food
75,domestic eggs,435,Pantry Staples,Cooking Products,Food
76,honey,12,Pantry Staples,Cooking Products,Food
77,liver loaf,37,Pantry Staples,Canned Goods,Food
78,margarine,418,Pantry Staples,Baking Essentials,Food
79,pudding powder,12,Pantry Staples,Baking Essentials,Food
80,cake bar,88,Pantry Staples,Baked Snacks,Food
81,cereals,44,Pantry Staples,Breakfast Cereals,Food
82,chewing gum,151,Pantry Staples,General Pantry Staples,Food
83,dessert,264,Pantry Staples,General Pantry Staples,Food
84,flour,129,Pantry Staples,Cooking Products,Food
85,Instant food products,52,Pantry Staples,Meal Kits,Food
86,jam,32,Pantry Staples,Sauces & Condiments,Food
87,ketchup,33,Pantry Staples,Sauces & Condiments,Food
88,mayonnaise,60,Pantry Staples,Sauces & Condiments,Food
89,mustard,86,Pantry Staples,Sauces & Condiments,Food
90,nuts/prunes,27,Pantry Staples,Breakfast Cereals,Food
91,oil,185,Pantry Staples,Cooking Products,Food
92,organic products,10,Pantry Staples,General Pantry Staples,Food
93,pasta,110,Pantry Staples,Cooking Products,Food
94,potato products,23,Pantry Staples,Cooking Products,Food
95,preservation products,2,Pantry Staples,General Pantry Staples,Food
96,ready soups,13,Pantry Staples,Meal Kits,Food
97,rice,61,Pantry Staples,Cooking Products,Food
98,salad dressing,6,Pantry Staples,Sauces & Condiments,Food
99,salt,83,Pantry Staples,Cooking Products,Food
100,sauces,35,Pantry Staples,Sauces & Condiments,Food
101,soups,51,Pantry Staples,Cooking Products,Food
102,specialty bar,197,Pantry Staples,Baked Snacks,Food
103,specialty fat,27,Pantry Staples,Cooking Products,Food
104,spices,35,Pantry Staples,Sauces & Condiments,Food
105,sugar,241,Pantry Staples,Sauces & Condiments,Food
106,syrup,24,Pantry Staples,Sauces & Condiments,Food
107,vinegar,46,Pantry Staples,Sauces & Condiments,Food
108,nut snack,22,Pantry Staples,Breakfast Cereals,Food
109,popcorn,53,Pantry Staples,Savory Snacks,Food
110,salty snack,256,Pantry Staples,Savory Snacks,Food
111,snack products,23,Pantry Staples,Savory Snacks,Food
112,sweet spreads,61,Pantry Staples,Sauces & Condiments,Food
113,tidbits,16,Pantry Staples,Savory Snacks,Food
114,waffles,273,Pantry Staples,Baked Snacks,Food
115,cat food,165,Pet Supplies,Cat Essentials,Food
116,dog food,65,Pet Supplies,Dog Essentials,Food
117,pet care,67,Pet Supplies,General Pet Supplies,Food
118,berries,239,Produce,Fruits,Food
119,grapes,154,Produce,Fruits,Food
120,herbs,115,Produce,Herbs,Food
121,onions,230,Produce,Vegetables,Food
